Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff,PYds,PRYds
2018-11-04,Steelers,Ravens,3,1:31,4,6,PIT 29,20-13,Jordan Berry punts 42 yards fair catch by Cyrus Jones,,-1.440,-0.870,.57,42,
2018-11-04,Ravens,Steelers,4,14:26,4,16,RAV 23,13-20,Sam Koch punts 52 yards returned by Ryan Switzer for 1 yard (tackle by Patrick Onwuasor). Penalty on Darrius Heyward-Bey: Offensive Holding 10 yards,,-1.830,0.220,2.05,52,1
2018-11-04,Steelers,Ravens,4,0:57,4,21,PIT 40,23-16,Jordan Berry punts 45 yards returned by Cyrus Jones for 9 yards (tackle by Sean Davis),,-0.720,-0.540,.18,45,9
2018-11-04,Seahawks,Chargers,2,12:50,4,8,SEA 24,7-6,Michael Dickson punts 57 yards returned by Desmond King for -2 yards (tackle by Justin Coleman),,-1.770,0.060,1.83,57,-2
2018-11-04,Seahawks,Chargers,2,10:11,4,8,SEA 18,7-12,Michael Dickson punts 50 yards returned by Desmond King for 2 yards (tackle by Shalom Luani). Penalty on Adrian Phillips: Illegal Block Above the Waist 10 yards,,-2.240,-0.540,1.70,50,2
2018-11-04,Chargers,Seahawks,2,9:10,4,10,SDG 24,12-7,Donnie Jones punts 53 yards out of bounds,,-1.770,-0.480,1.29,53,
2018-11-04,Chargers,Seahawks,2,4:55,4,8,SDG 43,12-7,Donnie Jones punts 44 yards out of bounds,,-0.520,0.320,.84,44,
2018-11-04,Seahawks,Chargers,2,2:17,4,8,SEA 25,7-12,Michael Dickson punts 57 yards returned by Desmond King for 17 yards (tackle by Shaquem Griffin),,-1.700,-1.270,.43,57,17
2018-11-04,Chargers,Seahawks,3,12:39,4,8,SDG 34,19-10,Donnie Jones punts 38 yards returned by Tyler Lockett for 6 yards (tackle by Trevor Williams),,-1.110,-1.200,-0.09,38,6
2018-11-04,Seahawks,Chargers,3,11:02,4,5,SEA 39,10-19,Michael Dickson punts 46 yards out of bounds,,-0.780,0.220,1.00,46,
2018-11-04,Seahawks,Chargers,3,2:34,4,13,SEA 49,10-19,Michael Dickson punts 46 yards out of bounds,,-0.130,0.380,.51,46,
2018-11-04,Chargers,Seahawks,4,15:00,4,8,SDG 28,19-10,Donnie Jones punts 42 yards returned by Tyler Lockett for no gain. Penalty on Akeem King: Offensive Holding 10 yards,,-1.500,-0.280,1.22,42,
2018-11-04,Seahawks,Chargers,4,12:07,4,16,SEA 27,10-19,Michael Dickson punts 61 yards returned by Desmond King for no gain. Penalty on Trevor Williams: Illegal Block Above the Waist 6 yards,,-1.570,0.380,1.95,61,
2018-11-04,Chargers,Seahawks,4,8:00,4,15,SDG 37,19-10,Donnie Jones punts 38 yards returned by Tyler Lockett for -2 yards (tackle by Geremy Davis),,-0.910,-0.480,.43,38,-2
2018-11-04,Chargers,Seahawks,4,1:33,4,17,SDG 40,25-17,Donnie Jones punts 43 yards out of bounds. Penalty on Trevor Williams: Player Out of Bounds on Kick 5 yards,,-0.720,-0.410,.31,43,
2018-11-04,Redskins,Falcons,1,13:02,4,16,WAS 19,0-0,Tress Way punts 62 yards,,-2.140,-0.150,1.99,62,
2018-11-04,Redskins,Falcons,1,6:39,4,15,WAS 41,0-7,Tress Way punts 53 yards returned by Justin Hardy for 4 yards (tackle by Danny Johnson),,-0.650,0.380,1.03,53,4
2018-11-04,Redskins,Falcons,2,13:35,4,4,50,0-7,Tress Way punts 36 yards fair catch by Justin Hardy,,-0.060,0.280,.34,36,
2018-11-04,Redskins,Falcons,3,7:02,4,22,WAS 26,7-28,Tress Way punts 51 yards fair catch by Justin Hardy,,-1.630,-0.480,1.15,51,
2018-11-04,Falcons,Redskins,3,6:04,4,4,ATL 29,28-7,Matthew Bosher punts 48 yards fair catch by Greg Stroman,,-1.440,-0.480,.96,48,
2018-11-04,Falcons,Redskins,3,0:48,4,5,ATL 30,28-14,Matthew Bosher punts 55 yards returned by Greg Stroman for no gain,,-1.370,0.220,1.59,55,
2018-11-04,Redskins,Falcons,4,13:57,4,7,WAS 38,14-28,Tress Way punts 43 yards fair catch by Justin Hardy,,-0.850,-0.150,.70,43,
2018-11-05,Cowboys,Titans,2,7:55,4,9,DAL 26,7-7,Chris Jones punts 43 yards returned by Adoree' Jackson for no gain,,-1.630,-1.000,.63,43,
2018-11-05,Titans,Cowboys,3,12:51,4,15,OTI 44,14-14,Brett Kern punts 45 yards returned by Cole Beasley for 7 yards (tackle by LeShaun Sims),,-0.460,-0.040,.42,45,7
2018-11-05,Cowboys,Titans,3,2:32,4,8,DAL 39,14-21,Chris Jones punts 47 yards returned by Adoree' Jackson for 11 yards (tackle by Damien Wilson),,-0.780,-0.610,.17,47,11
2018-11-05,Cowboys,Titans,4,8:58,4,20,DAL 10,14-21,Chris Jones punts 44 yards returned by Adoree' Jackson for 5 yards (tackle by Jamize Olawale). Penalty on Kamalei Correa: Offensive Holding 10 yards Penalty on Sharif Finch: Offensive Holding (Declined),,-2.490,-1.330,1.16,44,5
2018-11-08,Panthers,Steelers,1,9:06,4,9,CAR 26,7-14,Michael Palardy punts 45 yards returned by Ryan Switzer for 10 yards (tackle by Colin Jones),,-1.630,-1.530,.10,45,10
2018-11-08,Panthers,Steelers,2,14:56,4,12,PIT 41,7-21,Michael Palardy punts 33 yards,,0.530,0.380,-0.15,33,
2018-11-08,Panthers,Steelers,2,1:09,4,21,CAR 43,14-31,Michael Palardy punts 46 yards fair catch by Ryan Switzer,,-0.520,0.370,.89,46,
2018-11-08,Panthers,Steelers,3,6:14,4,12,CAR 28,14-38,Michael Palardy punts 37 yards fair catch by Ryan Switzer,,-1.500,-1.270,.23,37,
2018-11-08,Panthers,Steelers,4,11:09,4,19,CAR 28,14-52,Michael Palardy punts 44 yards fair catch by Ryan Switzer,,-1.500,-0.810,.69,44,
2018-11-08,Steelers,Panthers,4,9:34,4,8,PIT 30,52-14,Jordan Berry punts 28 yards,,-1.370,-1.730,-0.36,28,
2018-11-08,Steelers,Panthers,4,2:03,4,2,PIT 36,52-21,Jordan Berry punts 52 yards,,-0.980,0.350,1.33,52,
2018-11-11,Lions,Bears,1,5:20,4,17,CHI 37,0-6,Sam Martin punts 28 yards fair catch by Tarik Cohen,,0.790,0.380,-0.41,28,
2018-11-11,Lions,Bears,2,13:28,4,1,DET 34,0-13,Sam Martin punts 37 yards fair catch by Tarik Cohen,,-1.110,-0.870,.24,37,
2018-11-11,Lions,Bears,3,6:46,4,20,DET 25,10-26,Sam Martin punts 54 yards returned by Tarik Cohen for 18 yards (tackle by Kelvin Sheppard),,-1.700,-1.530,.17,54,18
2018-11-11,Bears,Lions,3,4:59,4,8,DET 43,26-10,Pat O'Donnell punts 35 yards,,0.400,0.380,-0.02,35,
2018-11-11,Lions,Bears,3,3:55,4,5,DET 13,10-26,Sam Martin punts 37 yards,,-2.490,-2.260,.23,37,
2018-11-11,Bears,Lions,4,10:40,4,12,CHI 1,34-10,Pat O'Donnell punts 50 yards returned by T.J. Jones for 12 yards (tackle by Isaiah Irving). Penalty on Quandre Diggs: Offensive Holding 10 yards,,-2.490,-2.260,.23,50,12
2018-11-11,Bears,Lions,4,1:15,4,10,CHI 41,34-22,Pat O'Donnell punts 59 yards touchback,,-0.650,-0.280,.37,59,
2018-11-11,Bengals,Saints,2,10:33,4,6,NOR 45,7-14,Kevin Huber punts 35 yards fair catch by Alvin Kamara,,0.270,0.380,.11,35,
2018-11-11,Bengals,Saints,2,4:15,4,12,CIN 23,7-21,Kevin Huber punts 39 yards returned by Alvin Kamara for 2 yards (tackle by Jordan Evans),,-1.830,-1.600,.23,39,2
2018-11-11,Bengals,Saints,3,13:20,4,7,CIN 30,7-35,Kevin Huber punts 42 yards fair catch by Alvin Kamara,,-1.370,-0.810,.56,42,
2018-11-11,Bengals,Saints,3,1:40,4,17,CIN 18,7-45,Kevin Huber punts 41 yards fair catch by Austin Carr,,-2.240,-1.660,.58,41,
2018-11-11,Browns,Falcons,1,12:14,4,1,CLE 44,0-0,Britton Colquitt punts 37 yards fair catch by Justin Hardy,,-0.460,-0.150,.31,37,
2018-11-11,Falcons,Browns,1,9:38,4,5,CLE 48,0-0,Matthew Bosher punts 36 yards fair catch by Jabrill Peppers,,0.070,0.350,.28,36,
2018-11-11,Falcons,Browns,3,9:08,4,7,CLE 46,10-21,Matthew Bosher punts 38 yards fair catch by Jabrill Peppers,,0.200,0.380,.18,38,
2018-11-11,Falcons,Browns,3,6:18,4,5,ATL 42,10-28,Matthew Bosher punts 44 yards returned by Jabrill Peppers for 6 yards (tackle by Kemal Ishmael),,-0.590,-0.280,.31,44,6
2018-11-11,Browns,Falcons,3,1:33,4,7,CLE 38,28-10,Britton Colquitt punts 43 yards fair catch by Justin Hardy,,-0.850,-0.150,.70,43,
2018-11-11,Browns,Falcons,4,8:37,4,1,CLE 24,28-10,Britton Colquitt punts 50 yards returned by Justin Hardy for 5 yards (tackle by Seth Devalve),,-1.770,-1.000,.77,50,5
2018-11-11,Browns,Falcons,4,4:05,4,6,CLE 24,28-16,Britton Colquitt punts 57 yards,,-1.770,-0.150,1.62,57,
2018-11-11,Jaguars,Colts,1,8:36,4,9,JAX 35,0-7,Logan Cooke punts 45 yards fair catch by Chester Rogers,,-1.040,-0.280,.76,45,
2018-11-11,Colts,Jaguars,1,5:53,4,4,CLT 46,7-0,Rigoberto Sanchez punts 52 yards returned by Dede Westbrook for 1 yard (tackle by Clayton Geathers),,-0.320,0.380,.70,52,1
2018-11-11,Jaguars,Colts,2,12:22,4,4,JAX 41,7-14,Logan Cooke punts 51 yards returned by Chester Rogers for 6 yards (tackle by DJ Chark),,-0.650,0.280,.93,51,6
2018-11-11,Colts,Jaguars,3,4:43,4,9,CLT 26,29-23,Rigoberto Sanchez punts 45 yards. Penalty on Zaire Franklin: Offensive Holding 10 yards,,-1.630,-1.530,.10,45,
2018-11-11,Jaguars,Colts,4,11:15,4,11,JAX 49,23-29,Logan Cooke punts 42 yards out of bounds,,-0.130,0.380,.51,42,
2018-11-11,Colts,Jaguars,4,8:26,4,1,CLT 18,29-23,Rigoberto Sanchez punts 41 yards fair catch by Dede Westbrook,,-2.240,-1.660,.58,41,
2018-11-11,Packers,Dolphins,2,0:40,4,13,MIA 44,14-9,JK Scott punts 37 yards,,0.330,0.380,.05,37,
2018-11-11,Packers,Dolphins,3,13:20,4,9,GNB 26,14-9,JK Scott punts blocked by Brandon Bolden recovered by Leonte Carroo,,-1.630,-3.710,-2.08,0,
2018-11-11,Dolphins,Packers,4,15:00,4,19,GNB 38,12-28,Matt Haack punts 38 yards touchback,,0.720,-0.280,-1.00,38,
2018-11-11,Cardinals,Chiefs,1,1:39,4,8,CRD 27,7-10,Andy Lee punts 53 yards returned by Tyreek Hill for -2 yards (tackle by Dennis Gardeck),,-1.570,-0.040,1.53,53,-2
2018-11-11,Cardinals,Chiefs,2,10:32,4,8,CRD 30,7-13,Andy Lee punts 43 yards out of bounds,,-1.370,-0.740,.63,43,
2018-11-11,Cardinals,Chiefs,2,1:53,4,29,KAN 49,7-20,Andy Lee punts 49 yards touchback,,0.000,-0.280,-0.28,49,
2018-11-11,Chiefs,Cardinals,2,0:26,4,11,KAN 36,20-7,Dustin Colquitt punts 52 yards returned by Christian Kirk for 6 yards (tackle by Charvarius Ward),,-0.980,-0.040,.94,52,6
2018-11-11,Chiefs,Cardinals,3,2:38,4,12,CRD 49,20-14,Dustin Colquitt punts 49 yards touchback,,0.000,-0.280,-0.28,49,
2018-11-11,Cardinals,Chiefs,3,0:28,4,1,CRD 29,14-20,Andy Lee punts 47 yards out of bounds,,-1.440,-0.540,.90,47,
2018-11-11,Chiefs,Cardinals,4,12:58,4,17,KAN 33,20-14,Dustin Colquitt punts 52 yards returned by Christian Kirk for 2 yards (tackle by Marcus Kemp),,-1.180,0.060,1.24,52,2
2018-11-11,Cardinals,Chiefs,4,8:11,4,20,CRD 27,14-26,Andy Lee punts 55 yards returned by Tyreek Hill for 82 yards. Penalty on Demetrius Harris: Illegal Block Above the Waist 10 yards,,-1.570,0.380,1.95,55,82
2018-11-11,Chiefs,Cardinals,4,6:22,4,7,KAN 13,26-14,Dustin Colquitt punts 48 yards returned by Christian Kirk for -5 yards (tackle by Damien Williams). Penalty on Trent Sherfield: Illegal Block Above the Waist 10 yards,,-2.490,-0.540,1.95,48,-5
2018-11-11,Chiefs,Cardinals,4,2:27,4,10,CRD 40,26-14,Dustin Colquitt punts 32 yards fair catch by Christian Kirk,,0.590,0.380,-0.21,32,
2018-11-11,Jets,Bills,1,12:54,4,6,NYJ 29,0-7,Lac Edwards punts 50 yards returned by Isaiah McKenzie for 8 yards (tackle by Terrence Brooks),,-1.440,-0.870,.57,50,8
2018-11-11,Bills,Jets,1,11:42,4,14,BUF 25,7-0,Colton Schmidt punts 46 yards returned by Andre Roberts for 15 yards (tackle by Reid Ferguson),,-1.700,-1.860,-0.16,46,15
2018-11-11,Jets,Bills,1,9:40,4,12,NYJ 42,0-7,Lac Edwards punts 48 yards returned by Micah Hyde for 17 yards (tackle by Neville Hewitt),,-0.590,-0.740,-0.15,48,17
2018-11-11,Jets,Bills,1,1:28,4,11,NYJ 24,0-14,Lac Edwards punts 60 yards returned by Isaiah McKenzie for 11 yards,,-1.770,-0.740,1.03,60,11
2018-11-11,Jets,Bills,2,13:04,4,2,NYJ 33,0-17,Lac Edwards punts 52 yards returned by Isaiah McKenzie for 21 yards (tackle by Neville Hewitt),,-1.180,-1.330,-0.15,52,21
2018-11-11,Jets,Bills,3,13:03,4,10,NYJ 39,3-31,Lac Edwards punts 46 yards returned by Isaiah McKenzie for 2 yards (tackle by Kevin Pierre-Louis),,-0.780,0.060,.84,46,2
2018-11-11,Bills,Jets,3,10:15,4,3,BUF 38,31-3,Colton Schmidt punts 35 yards fair catch by Andre Roberts,,-0.850,-0.740,.11,35,
2018-11-11,Jets,Bills,4,14:53,4,9,NYJ 30,10-38,Lac Edwards punts 30 yards out of bounds,,-1.370,-1.600,-0.23,30,
2018-11-11,Bills,Jets,4,12:46,4,9,BUF 41,38-10,Colton Schmidt punts 40 yards fair catch by Andre Roberts,,-0.650,-0.150,.50,40,
2018-11-11,Bills,Jets,4,8:51,4,9,BUF 47,38-10,Colton Schmidt punts 53 yards touchback,,-0.260,-0.280,-0.02,53,
2018-11-11,Jets,Bills,4,8:12,4,8,NYJ 22,10-38,Lac Edwards punts 26 yards,,-1.900,-2.390,-0.49,26,
2018-11-11,Titans,Patriots,2,11:36,4,2,OTI 33,17-10,Brett Kern punts 55 yards returned by Julian Edelman for 18 yards (tackle by Brynden Trawick),,-1.180,-0.940,.24,55,18
2018-11-11,Titans,Patriots,2,6:36,4,13,NWE 45,17-10,Brett Kern punts 36 yards fair catch by Julian Edelman,,0.270,0.380,.11,36,
2018-11-11,Patriots,Titans,3,13:30,4,14,NWE 31,10-24,Ryan Allen punts 52 yards returned by Adoree' Jackson for 15 yards (tackle by Brandon King),,-1.310,-1.070,.24,52,15
2018-11-11,Titans,Patriots,3,11:58,4,5,OTI 37,24-10,Brett Kern punts 47 yards out of bounds,,-0.910,0.140,1.05,47,
2018-11-11,Patriots,Titans,3,9:15,4,4,OTI 41,10-24,Ryan Allen punts 32 yards fair catch by Adoree' Jackson,,0.530,0.380,-0.15,32,
2018-11-11,Patriots,Titans,3,2:11,4,4,NWE 43,10-27,Ryan Allen punts 57 yards touchback,,-0.520,-0.280,.24,57,
2018-11-11,Titans,Patriots,4,13:42,4,9,OTI 34,27-10,Brett Kern punts 53 yards returned by Julian Edelman for 12 yards (tackle by Beau Brinkley),,-1.110,-0.610,.50,53,12
2018-11-11,Patriots,Titans,4,5:04,4,5,NWE 24,10-34,Ryan Allen punts 66 yards,,-1.770,0.380,2.15,66,
2018-11-11,Titans,Patriots,4,2:30,4,4,OTI 16,34-10,Brett Kern punts 50 yards,,-2.390,-1.200,1.19,50,
2018-11-11,Eagles,Cowboys,1,12:53,4,2,PHI 33,0-0,Cameron Johnston punts 49 yards. Penalty on Byron Jones: Offensive Holding 9 yards,,-1.180,0.380,1.56,49,
2018-11-11,Cowboys,Eagles,1,11:08,4,9,DAL 10,0-0,Chris Jones punts 46 yards returned by Golden Tate for 12 yards (tackle by Rod Smith),,-2.490,-2.650,-0.16,46,12
2018-11-11,Eagles,Cowboys,1,4:23,4,5,PHI 45,0-3,Cameron Johnston punts 39 yards returned by Cole Beasley for no gain. Penalty on Dorance Armstrong: Illegal Block Above the Waist 8 yards,,-0.390,0.380,.77,39,
2018-11-11,Cowboys,Eagles,2,15:00,4,6,DAL 35,3-0,Chris Jones punts 39 yards,,-1.040,-0.670,.37,39,
2018-11-11,Cowboys,Eagles,3,13:08,4,14,DAL 21,13-3,Chris Jones punts 34 yards,,-1.960,-1.930,.03,34,
2018-11-11,Cowboys,Eagles,4,0:53,4,16,DAL 23,27-20,Chris Jones punts 44 yards returned by Golden Tate for -1 yards (tackle by Jamize Olawale),,-1.830,-1.070,.76,44,-1
2018-11-11,Chargers,Raiders,1,6:35,4,5,SDG 6,0-0,Donnie Jones punts 47 yards returned by Dwayne Harris for 4 yards (tackle by Adrian Phillips). Penalty on Keith Smith: Illegal Block Above the Waist 10 yards,,-2.490,-1.660,.83,47,4
2018-11-11,Chargers,Raiders,1,1:55,4,9,SDG 26,0-3,Donnie Jones punts 46 yards returned by Dwayne Harris for -2 yards (tackle by Austin Ekeler),,-1.630,-0.670,.96,46,-2
2018-11-11,Raiders,Chargers,2,3:46,4,4,RAI 32,3-3,Johnny Townsend punts 57 yards returned by Travis Benjamin for 7 yards (tackle by Derek Carrier). Penalty on Nick Dzubnar: Offensive Holding 9 yards,,-1.240,0.380,1.62,57,7
2018-11-11,Raiders,Chargers,3,9:07,4,17,RAI 24,3-17,Johnny Townsend punts 51 yards fair catch by Travis Benjamin,,-1.770,-0.610,1.16,51,
2018-11-11,Raiders,Chargers,3,5:56,4,5,RAI 32,3-17,Johnny Townsend punts 54 yards returned by Travis Benjamin for 8 yards (tackle by Derek Carrier). Penalty on Rayshawn Jenkins: Unnecessary Roughness 11 yards,,-1.240,0.370,1.61,54,8
2018-11-11,Chargers,Raiders,3,3:01,4,2,SDG 43,17-3,Donnie Jones punts 38 yards fair catch by Dwayne Harris,,-0.520,-0.150,.37,38,
2018-11-11,Chargers,Raiders,4,1:14,4,12,SDG 44,20-6,Donnie Jones punts 40 yards returned by Dwayne Harris for 6 yards (tackle by Austin Ekeler),,-0.460,-0.410,.05,40,6
2018-11-11,Seahawks,Rams,2,12:50,4,13,SEA 22,14-10,Michael Dickson punts 68 yards returned by Jojo Natson for 11 yards (tackle by Akeem King),,-1.900,-0.340,1.56,68,11
2018-11-11,Rams,Seahawks,2,9:45,4,14,50,10-14,Johnny Hekker punts 34 yards out of bounds. Penalty on Blake Countess: Unnecessary Roughness 15 yards,,-0.060,-1.000,-0.94,34,
2018-11-11,Seahawks,Rams,2,7:42,4,11,SEA 30,14-10,Michael Dickson punts 57 yards returned by Jojo Natson for 11 yards (tackle by Akeem King). Penalty on Marqui Christian: Offensive Holding 10 yards,,-1.370,0.280,1.65,57,11
2018-11-11,Seahawks,Rams,2,0:26,4,7,RAM 43,14-17,Michael Dickson punts 40 yards,,0.400,0.380,-0.02,40,
2018-11-11,Rams,Seahawks,4,1:35,4,6,RAM 29,36-31,Johnny Hekker punts 55 yards returned by Tyler Lockett for 9 yards (tackle by Ramik Wilson),,-1.440,-0.610,.83,55,9
2018-11-11,Redskins,Buccaneers,1,9:02,4,5,WAS 37,0-0,Tress Way punts 56 yards returned by Adam Humphries for 8 yards (tackle by Ryan Anderson),,-0.910,0.220,1.13,56,8
2018-11-11,Buccaneers,Redskins,1,4:26,4,16,WAS 44,0-0,Bryan Anger punts 44 yards touchback,,0.330,-0.280,-0.61,44,
2018-11-11,Redskins,Buccaneers,2,6:05,4,4,WAS 26,3-0,Tress Way punts 52 yards fair catch by Adam Humphries,,-1.630,-0.410,1.22,52,
2018-11-11,Redskins,Buccaneers,3,11:15,4,1,WAS 38,6-3,Tress Way punts 58 yards,,-0.850,0.380,1.23,58,
2018-11-11,Redskins,Buccaneers,4,6:18,4,11,50,16-3,Tress Way punts 37 yards fair catch by Adam Humphries,,-0.060,0.320,.38,37,
2018-11-11,Redskins,Buccaneers,4,0:27,4,6,50,16-3,Tress Way punts 44 yards,,-0.060,0.380,.44,44,
2018-11-12,Giants,49ers,1,13:45,4,11,NYG 24,0-0,Riley Dixon punts 53 yards returned by Richie James for 23 yards (tackle by Riley Dixon),,-1.770,-1.990,-0.22,53,23
2018-11-12,Giants,49ers,1,5:05,4,7,NYG 47,0-3,Riley Dixon punts 45 yards,,-0.260,0.380,.64,45,
2018-11-12,Giants,49ers,2,10:53,4,8,NYG 26,7-10,Riley Dixon punts 59 yards,,-1.630,0.220,1.85,59,
2018-11-12,49ers,Giants,2,8:42,4,3,SFO 42,10-7,Bradley Pinion punts 40 yards fair catch by Quadree Henderson,,-0.590,-0.040,.55,40,
2018-11-12,49ers,Giants,3,4:25,4,19,SFO 16,20-17,Bradley Pinion punts 46 yards. Penalty on Tarvarius Moore: Kick Catch Interference 15 yards,,-2.390,-2.460,-0.07,46,
2018-11-12,Giants,49ers,4,13:41,4,3,SFO 47,20-20,Riley Dixon punts 32 yards fair catch by Richie James,,0.130,0.220,.09,32,
2018-11-12,49ers,Giants,4,10:43,4,1,SFO 37,20-20,Bradley Pinion punts 47 yards returned by Quadree Henderson for 7 yards (tackle by Elijah Lee),,-0.910,-0.480,.43,47,7
2018-11-12,Giants,49ers,4,9:06,4,15,NYG 18,20-20,Riley Dixon punts 49 yards returned by Dante Pettis for 1 yard (tackle by Antonio Hamilton),,-2.240,-1.200,1.04,49,1
2018-11-15,Seahawks,Packers,1,13:04,4,8,SEA 27,0-7,Michael Dickson punts 57 yards returned by Trevor Davis for 7 yards (tackle by Tre Madden),,-1.570,-0.480,1.09,57,7
2018-11-15,Seahawks,Packers,1,1:45,4,7,SEA 35,3-14,Michael Dickson punts 54 yards returned by Trevor Davis for 15 yards (tackle by Ed Dickson),,-1.040,-0.670,.37,54,15
2018-11-15,Packers,Seahawks,1,0:41,4,5,GNB 31,14-3,JK Scott punts 46 yards fair catch by Tyler Lockett,,-1.310,-0.480,.83,46,
2018-11-15,Packers,Seahawks,2,4:54,4,8,GNB 23,14-10,JK Scott punts 47 yards fair catch by Tyler Lockett,,-1.830,-0.940,.89,47,
2018-11-15,Packers,Seahawks,3,11:42,4,7,SEA 48,21-17,JK Scott punts 38 yards fair catch by Tyler Lockett,,0.070,0.380,.31,38,
2018-11-15,Seahawks,Packers,3,9:52,4,13,SEA 7,17-21,Michael Dickson punts 38 yards out of bounds. Penalty on Will Redmond: Offensive Holding 10 yards,,-2.490,-1.930,.56,38,
2018-11-15,Packers,Seahawks,3,8:21,4,15,GNB 40,21-17,JK Scott punts 40 yards fair catch by Tyler Lockett,,-0.720,-0.280,.44,40,
2018-11-15,Seahawks,Packers,3,6:48,4,14,SEA 16,17-21,Michael Dickson punts 59 yards returned by Trevor Davis for 9 yards (tackle by Tre Madden),,-2.390,-1.200,1.19,59,9
2018-11-15,Packers,Seahawks,3,3:55,4,9,SEA 49,21-17,JK Scott punts 46 yards,,0.000,0.380,.38,46,
2018-11-15,Packers,Seahawks,4,4:20,4,2,GNB 33,24-27,JK Scott punts 67 yards touchback,,-1.180,-0.280,.90,67,
2018-11-18,Falcons,Cowboys,1,10:50,4,19,DAL 47,0-0,Matthew Bosher punts 35 yards fair catch by Cole Beasley,,0.130,0.350,.22,35,
2018-11-18,Cowboys,Falcons,2,13:59,4,6,DAL 29,3-3,Chris Jones punts 40 yards returned by Justin Hardy for 13 yards (tackle by Lance Lenoir),,-1.440,-1.860,-0.42,40,13
2018-11-18,Falcons,Cowboys,2,8:18,4,13,DAL 37,3-3,Matthew Bosher punts 27 yards fair catch by Cole Beasley,,0.790,0.380,-0.41,27,
2018-11-18,Cowboys,Falcons,2,4:51,4,15,DAL 18,3-3,Chris Jones punts 44 yards returned by Justin Hardy for 2 yards (tackle by Damien Wilson),,-2.240,-1.600,.64,44,2
2018-11-18,Cowboys,Falcons,4,4:12,4,11,DAL 35,19-12,Chris Jones punts 49 yards returned by Justin Hardy for 1 yard (tackle by Kavon Frazier). Penalty on Lance Lenoir: Unnecessary Roughness 15 yards,,-1.040,-1.070,-0.03,49,1
2018-11-18,Vikings,Bears,1,12:59,4,2,MIN 33,0-0,Matt Wile punts 46 yards fair catch by Tarik Cohen,,-1.180,-0.340,.84,46,
2018-11-18,Vikings,Bears,2,13:20,4,9,MIN 33,0-3,Matt Wile punts 49 yards fair catch by Tarik Cohen,,-1.180,-0.040,1.14,49,
2018-11-18,Vikings,Bears,2,4:59,4,15,MIN 22,0-11,Matt Wile punts 53 yards returned by Tarik Cohen for 11 yards (tackle by Ben Gedeon),,-1.900,-1.330,.57,53,11
2018-11-18,Bears,Vikings,3,11:31,4,6,CHI 48,14-0,Pat O'Donnell punts 38 yards returned by Marcus Sherels for 10 yards (tackle by DeAndre Houston-Carson),,-0.190,-0.540,-0.35,38,10
2018-11-18,Vikings,Bears,3,7:42,4,4,CHI 48,0-14,Matt Wile punts 30 yards,,0.070,-0.040,-0.11,30,
2018-11-18,Bears,Vikings,4,8:47,4,3,MIN 44,14-6,Pat O'Donnell punts 33 yards,,0.330,0.370,.04,33,
2018-11-18,Titans,Colts,1,9:27,4,16,CLT 42,0-0,Brett Kern punts 32 yards fair catch by Chester Rogers,,0.460,0.380,-0.08,32,
2018-11-18,Colts,Titans,1,6:51,4,9,CLT 34,0-0,Rigoberto Sanchez punts 53 yards,,-1.110,0.320,1.43,53,
2018-11-18,Titans,Colts,1,5:09,4,7,OTI 16,0-0,Brett Kern punts 58 yards returned by Chester Rogers for 74 yards. Penalty on Arthur Maulet: Offensive Holding 10 yards,,-2.390,-3.380,-0.99,58,74
2018-11-18,Titans,Colts,2,9:09,4,1,OTI 34,0-10,Brett Kern punts 53 yards fair catch by Chester Rogers,,-1.110,0.320,1.43,53,
2018-11-18,Titans,Colts,2,5:35,4,6,OTI 29,0-17,Brett Kern punts 56 yards returned by Chester Rogers for 15 yards (tackle by Sharif Finch). Penalty on Zach Pascal: Illegal Block Above the Waist 10 yards,,-1.440,0.220,1.66,56,15
2018-11-18,Colts,Titans,3,10:31,4,1,CLT 42,24-3,Rigoberto Sanchez punts 41 yards fair catch by Adoree' Jackson,,-0.590,0.060,.65,41,
2018-11-18,Titans,Colts,3,4:53,4,9,OTI 40,3-31,Brett Kern punts 45 yards out of bounds,,-0.720,0.220,.94,45,
2018-11-18,Titans,Colts,4,10:55,4,4,OTI 31,3-38,Brett Kern punts 52 yards returned by Chester Rogers for 4 yards (tackle by Brynden Trawick),,-1.310,-0.340,.97,52,4
2018-11-18,Colts,Titans,4,8:11,4,9,CLT 46,38-3,Rigoberto Sanchez punts 48 yards,,-0.320,0.380,.70,48,
2018-11-18,Raiders,Cardinals,1,4:43,4,17,RAI 23,7-7,Johnny Townsend punts 48 yards fair catch by Christian Kirk,,-1.830,-0.870,.96,48,
2018-11-18,Cardinals,Raiders,1,3:47,4,5,CRD 34,7-7,Andy Lee punts 57 yards returned by Dwayne Harris for 12 yards (tackle by Derrick Coleman),,-1.110,-0.340,.77,57,12
2018-11-18,Raiders,Cardinals,1,2:07,4,2,RAI 29,7-7,Johnny Townsend punts 38 yards returned by Christian Kirk for 3 yards (tackle by Derek Carrier),,-1.440,-1.330,.11,38,3
2018-11-18,Raiders,Cardinals,2,12:59,4,11,RAI 36,7-14,Johnny Townsend punts 39 yards returned by Christian Kirk for 12 yards (tackle by Nicholas Morrow),,-0.980,-1.400,-0.42,39,12
